field,year,public_years,private_years
Accounting & Finance,2012,0.20946325151682296,2.834917149292149
Accounting & Finance,2016,0.1452780700076511,1.966222185029329
Accounting & Finance,2019,0.12932296100800272,1.7502825784664282
Accounting & Finance,2022,0.11983492426633008,1.6218696092353002
Architecture & Built Environment,2012,0.237233406876264,2.6009491634491635
Architecture & Built Environment,2016,0.16453870186176997,1.8039482912522316
Architecture & Built Environment,2019,0.14646830126567909,1.6058303535955503
Architecture & Built Environment,2022,0.13572236246975913,1.488015409698117
Arts & Humanities,2012,0.20244300422871853,2.5334543344364775
Arts & Humanities,2016,0.14040901555725582,1.7571356956133641
Arts & Humanities,2019,0.12498864861796925,1.5641589335376582
Arts & Humanities,2022,0.11581860734195856,1.4494012964131693
Business,2012,0.20706931421217137,2.505778405956977
Business,2016,0.14361769956643713,1.7379404169854629
Business,2019,0.12784494012145978,1.5470717691128895
Business,2022,0.11846534132744294,1.433567765856737
Computer Science & IT,2012,0.3043987865416437,2.5823910645339216
Computer Science & IT,2016,0.21112280030604438,1.7910768936495791
Computer Science & IT,2019,0.1879363187468074,1.5943725523582497
Computer Science & IT,2022,0.1741479962133165,1.4773982328810351
Education,2012,0.22744679628608203,2.4104844640558927
Education,2016,0.15775097232848764,1.6718471053302728
Education,2019,0.14042603155684205,1.4882371303706226
Education,2022,0.13012339591879668,1.3790496476280636
Engineering,2012,0.4895201323772752,3.3124770178341607
Engineering,2016,0.33951798010711554,2.2974448482529968
Engineering,2019,0.3022305465690448,2.045128838186049
Engineering,2022,0.28005680025244556,1.8950838855580099
Law,2012,0.21603235888950176,2.89196083838941
Law,2016,0.1498342259627646,2.005786151491966
Law,2019,0.13337873886145638,1.785501447301209
Law,2022,0.12359314189544546,1.6545045755758914
Medicine & Health,2012,0.2996874425445854,4.739772936201508
Medicine & Health,2016,0.2078551389951543,3.287378857434328
Medicine & Health,2019,0.1850275271014246,2.9263437198478917
Medicine & Health,2022,0.17145261386346902,2.711646681392658
Science,2012,0.2368312189740761,2.829257905865049
Science,2016,0.16425975516449884,1.9622970862024993
Science,2019,0.14621998978375617,1.7467885521312219
Science,2022,0.13549226885452825,1.61863192910487
Social Sciences,2012,0.20852488968560395,2.4089906232763374
Social Sciences,2016,0.14462724751338943,1.6708110175975517
Social Sciences,2019,0.12874361484760768,1.4873148305806232
Social Sciences,2022,0.11929808299147995,1.3781950142000632
