field,public_years,private_years,public_delta,norm_burden,norm_growth,norm_sru,cost_squeeze_score
Engineering,0.28005680025244556,1.8950838855580099,-0.20946333212482965,1.0,0.0,0.361,50.83
Computer Science & IT,0.1741479962133165,1.4773982328810351,-0.1302507903283272,0.3551511852249165,0.6448488147750833,0.361,44.38151185224916
Medicine & Health,0.17145261386346902,2.711646681392658,-0.12823482868111638,0.3387397628749609,0.6612602371250391,0.361,44.21739762874961
Architecture & Built Environment,0.13572236246975913,1.488015409698117,-0.10151104440650488,0.12118834708957438,0.8788116529104258,0.361,42.041883470895755
Science,0.13549226885452825,1.61863192910487,-0.10133895011954785,0.1197873720109196,0.8802126279890806,0.361,42.027873720109206
Education,0.13012339591879668,1.3790496476280636,-0.09732340036728535,0.08709782008277767,0.9129021799172223,0.361,41.70097820082778
Law,0.12359314189544546,1.6545045755758914,-0.0924392169940563,0.04733694651477427,0.9526630534852257,0.361,41.303369465147746
Accounting & Finance,0.11983492426633008,1.6218696092353002,-0.08962832725049288,0.024454220137215543,0.9755457798627845,0.361,41.074542201372154
Social Sciences,0.11929808299147995,1.3781950142000632,-0.089226806694124,0.02118554513941695,0.9788144548605832,0.361,41.04185545139417
Business,0.11846534132744294,1.433567765856737,-0.08860397288472843,0.016115216190468518,0.9838847838095314,0.361,40.99115216190468
Arts & Humanities,0.11581860734195856,1.4494012964131693,-0.08662439688675996,0.0,1.0,0.361,40.83
