state,date,income_mean,income_median,year
Johor,2012-01-01,4658,3650,2012
Johor,2014-01-01,6207,5197,2014
Johor,2016-01-01,6928,5652,2016
Johor,2019-01-01,8013,6427,2019
Johor,2020-01-01,7264,5690,2020
Johor,2022-01-01,8517,6879,2022
Kedah,2012-01-01,3425,2633,2012
Kedah,2014-01-01,4478,3451,2014
Kedah,2016-01-01,4971,3811,2016
Kedah,2019-01-01,5522,4325,2019
Kedah,2020-01-01,5005,3829,2020
Kedah,2022-01-01,5550,4402,2022
Kelantan,2012-01-01,3168,2276,2012
Kelantan,2014-01-01,3715,2716,2014
Kelantan,2016-01-01,4214,3079,2016
Kelantan,2019-01-01,4874,3563,2019
Kelantan,2020-01-01,4411,3010,2020
Kelantan,2022-01-01,4885,3614,2022
Melaka,2012-01-01,4759,3923,2012
Melaka,2014-01-01,6046,5029,2014
Melaka,2016-01-01,6849,5588,2016
Melaka,2019-01-01,7741,6054,2019
Melaka,2020-01-01,7186,5447,2020
Melaka,2022-01-01,8057,6210,2022
Negeri Sembilan,2012-01-01,4576,3575,2012
Negeri Sembilan,2014-01-01,5271,4128,2014
Negeri Sembilan,2016-01-01,5887,4579,2016
Negeri Sembilan,2019-01-01,6707,5005,2019
Negeri Sembilan,2020-01-01,6184,4478,2020
Negeri Sembilan,2022-01-01,6788,5226,2022
Pahang,2012-01-01,3745,3067,2012
Pahang,2014-01-01,4343,3389,2014
Pahang,2016-01-01,5012,3979,2016
Pahang,2019-01-01,5667,4440,2019
Pahang,2020-01-01,5144,4033,2020
Pahang,2022-01-01,5777,4753,2022
Perak,2012-01-01,3548,2665,2012
Perak,2014-01-01,4268,3451,2014
Perak,2016-01-01,5065,4006,2016
Perak,2019-01-01,5645,4273,2019
Perak,2020-01-01,5081,3759,2020
Perak,2022-01-01,5779,4494,2022
Perlis,2012-01-01,3538,2387,2012
Perlis,2014-01-01,4445,3500,2014
Perlis,2016-01-01,4998,4204,2016
Perlis,2019-01-01,5476,4594,2019
Perlis,2020-01-01,4971,4043,2020
Perlis,2022-01-01,5664,4713,2022
Pulau Pinang,2012-01-01,5055,4039,2012
Pulau Pinang,2014-01-01,5993,4702,2014
Pulau Pinang,2016-01-01,6771,5409,2016
Pulau Pinang,2019-01-01,7774,6169,2019
Pulau Pinang,2020-01-01,6850,5474,2020
Pulau Pinang,2022-01-01,8267,6502,2022
Sabah,2012-01-01,4013,2860,2012
Sabah,2014-01-01,4879,3745,2014
Sabah,2016-01-01,5354,4110,2016
Sabah,2019-01-01,5745,4235,2019
Sabah,2020-01-01,5215,3773,2020
Sabah,2022-01-01,6171,4577,2022
Sarawak,2012-01-01,4293,3047,2012
Sarawak,2014-01-01,4934,3778,2014
Sarawak,2016-01-01,5387,4163,2016
Sarawak,2019-01-01,5959,4544,2019
Sarawak,2020-01-01,5087,3831,2020
Sarawak,2022-01-01,6457,4978,2022
Selangor,2012-01-01,7023,5353,2012
Selangor,2014-01-01,8252,6214,2014
Selangor,2016-01-01,9463,7225,2016
Selangor,2019-01-01,10827,8210,2019
Selangor,2020-01-01,9668,7300,2020
Selangor,2022-01-01,12233,9983,2022
Terengganu,2012-01-01,3967,3034,2012
Terengganu,2014-01-01,4816,3777,2014
Terengganu,2016-01-01,5776,4694,2016
Terengganu,2019-01-01,6815,5545,2019
Terengganu,2020-01-01,6051,4790,2020
Terengganu,2022-01-01,7248,5878,2022
W.P. Kuala Lumpur,2012-01-01,8586,5847,2012
W.P. Kuala Lumpur,2014-01-01,10629,7620,2014
W.P. Kuala Lumpur,2016-01-01,11692,9073,2016
W.P. Kuala Lumpur,2019-01-01,13257,10549,2019
W.P. Kuala Lumpur,2020-01-01,11728,9093,2020
W.P. Kuala Lumpur,2022-01-01,13325,10234,2022
W.P. Labuan,2012-01-01,6317,5063,2012
W.P. Labuan,2014-01-01,7591,5684,2014
W.P. Labuan,2016-01-01,8174,5928,2016
W.P. Labuan,2019-01-01,8319,6726,2019
W.P. Labuan,2020-01-01,7333,6126,2020
W.P. Labuan,2022-01-01,8250,6904,2022
W.P. Putrajaya,2012-01-01,8101,6486,2012
W.P. Putrajaya,2014-01-01,10401,7512,2014
W.P. Putrajaya,2016-01-01,11555,8275,2016
W.P. Putrajaya,2019-01-01,12840,9983,2019
W.P. Putrajaya,2020-01-01,12322,9743,2020
W.P. Putrajaya,2022-01-01,13473,10056,2022
