field,public_fee,private_fee,public_months,private_months,public_years,private_years,pub_adj_burden,priv_adj_burden,norm_cost,norm_adj,public_real_2012,norm_real,burden_index
Engineering,21300.0,144132.5,3.360681603029347,22.74100662669612,0.28005680025244556,1.8950838855580099,0.38115730514357843,2.5792091682444513,1.0,1.0,17613.758146270822,0.9999999999999999,100.0
Computer Science & IT,13245.0,112365.0,2.0897759545597983,17.72877879457242,0.17414799621331653,1.4773982328810351,0.2370154228463238,2.010738994951089,0.3551511852249166,0.3551511852249165,10952.780593772632,0.3551511852249166,35.51511852249166
Medicine & Health,13040.0,206237.0,2.0574313663616284,32.539760176711894,0.17145261386346902,2.711646681392658,0.23334700746818135,3.6905511333754073,0.338739762874961,0.3387397628749609,10783.258508327302,0.338739762874961,33.8739762874961
Architecture & Built Environment,10322.5,113172.5,1.6286683496371095,17.856184916377405,0.13572236246975913,1.488015409698117,0.18471813532134218,2.025188972599137,0.12118834708957427,0.12118834708957427,8536.05720492397,0.12118834708957438,12.11883470895743
Science,10305.0,123106.67,1.6259072262543388,19.42358314925844,0.13549226885452822,1.61863192910487,0.1844049779110129,2.2029580555117283,0.11978737201091938,0.11978737201091927,8521.585807385954,0.1197873720109196,11.978737201091938
Education,9896.665,104885.0,1.5614807510255602,16.548595771536764,0.13012339591879668,1.3790496476280636,0.17709794184548228,1.8768865704217945,0.08709782008277756,0.08709782008277744,8183.918486603913,0.08709782008277767,8.709782008277752
Law,9400.0,125835.0,1.4831177027453455,19.854054906910697,0.12359314189544546,1.6545045755758914,0.16821026611970127,2.251780727358788,0.04733694651477416,0.04733694651477416,7773.207820419988,0.04733694651477427,4.7336946514774185
Accounting & Finance,9114.165,123352.915,1.438019091195961,19.462435310823604,0.11983492426633008,1.6218696092353004,0.16309533192647524,2.207364538169244,0.024454220137215432,0.024454220137215432,7536.840282404058,0.024454220137215543,2.4454220137215454
Social Sciences,9073.335,104820.0,1.4315769958977593,16.538340170400758,0.11929808299147994,1.3781950142000632,0.16236469095140418,1.875723414326286,0.021185545139416728,0.021185545139416728,7503.07644460536,0.02118554513941695,2.1185545139416773
Business,9010.0,109031.43,1.4215840959293153,17.202813190280846,0.11846534132744295,1.4335677658567372,0.16123132954664984,1.9510857293310193,0.016115216190468518,0.016115216190468407,7450.702389572775,0.016115216190468518,1.6115216190468473
Arts & Humanities,8808.7,110235.66500000001,1.3898232881035029,17.39281555695803,0.11581860734195858,1.4494012964131693,0.15762912459240563,1.9726351644183233,0.0,0.0,7284.239971035484,0.0,0.0
