field,type,fee,npv,simple_roi,payback_yrs
Accounting & Finance,Public,9114.165,687037.2780278759,15336.191905676493,0.2591312691914023
Accounting & Finance,Private,123352.915,572798.5280278759,1040.532430871212,3.5071339417718637
Architecture & Built Environment,Public,10322.5,685828.943027876,13529.25647856624,0.2934862959172069
Architecture & Built Environment,Private,113172.5,582978.943027876,1143.1288519737568,3.217687364949392
Arts & Humanities,Public,8808.7,687342.743027876,15871.482738656101,0.25044637780052315
Arts & Humanities,Private,110235.66500000001,585915.7780278759,1176.2475737775064,3.1341881326054817
Business,Public,9010.0,687141.443027876,15514.65038845727,0.2561696804276129
Business,Private,109031.43,587120.0130278759,1190.3435275498084,3.0999496758785394
Computer Science & IT,Public,13245.0,682906.443027876,10521.970554926387,0.37657795974070285
Computer Science & IT,Private,112365.0,583786.443027876,1152.062474969964,3.1947287615148414
Education,Public,9896.665,686254.7780278759,14115.697914398435,0.2813790799499602
Education,Private,104885.0,591266.443027876,1241.3548171807217,2.982059592857955
Engineering,Public,21300.0,674851.443027876,6505.070422535211,0.6055953599454111
Engineering,Private,144132.5,552018.943027876,876.101850727629,4.0979330148982145
Law,Public,9400.0,686751.443027876,14866.808510638299,0.26725804617309223
Law,Private,125835.0,570316.443027876,1018.0355227083086,3.5777038553394744
Medicine & Health,Public,13040.0,683111.443027876,10688.957055214723,0.37074945979756624
Medicine & Health,Private,206237.0,489914.44302787597,582.1666335332651,5.863669964744683
Science,Public,10305.0,685846.443027876,13552.40174672489,0.2929887410440123
Science,Private,123106.67,573044.7730278759,1042.8137890497728,3.5001327760718755
Social Sciences,Public,9073.335,687078.108027876,15405.654756492515,0.25797040259297166
Social Sciences,Private,104820.0,591331.443027876,1242.1866056096167,2.9802115319003755
