year,sex,sru_rate,sru_persons
2017,female,33.875,670.925
2017,male,29.1,606.05
2017,overall,31.45,1276.975
2018,female,35.325,729.25
2018,male,30.725,662.075
2018,overall,32.975,1391.325
2019,female,36.625,797.2
2019,male,30.9,696.15
2019,overall,33.699999999999996,1493.35
2020,female,37.05,841.425
2020,male,36.425,898.825
2020,overall,36.725,1740.225
2021,female,38.35,938.825
2021,male,37.15,927.325
2021,overall,37.7,1866.125
2022,female,38.025,923.525
2022,male,35.95,911.65
2022,overall,36.95,1835.175
2023,female,39.225,981.775
2023,male,35.75,938.65
2023,overall,37.375,1920.4
2024,female,41.625,1059.775
2024,male,31.075,873.375
2024,overall,36.1,1933.15
2025,female,40.4,1072.6666666666667
2025,male,31.099999999999998,884.2666666666668
2025,overall,35.6,1956.9333333333334
