state,year,income_median,annual_income,aff_public,aff_private
Johor,2012,3650,43800,0.2563623183893732,2.8583928601079287
Johor,2014,5197,62364,0.18005050262097594,2.0075301018652953
Johor,2016,5652,67824,0.16555599117501982,1.8459189560144973
Johor,2019,6427,77124,0.1455924166984926,1.623328759824792
Johor,2020,5690,68280,0.16445034483676838,1.8335912020024498
Johor,2022,6879,82548,0.1360259430325937,1.5166643319369006
Kedah,2012,2633,31596,0.35538262898640793,3.9624511733360954
Kedah,2014,3451,41412,0.271145309220867,3.02322049823064
Kedah,2016,3811,45732,0.24553200265578903,2.7376368248212906
Kedah,2019,4325,51900,0.21635201436328602,2.412285303906113
Kedah,2020,3829,45948,0.24437776498334082,2.7247672863394983
Kedah,2022,4402,52824,0.21256757431195183,2.3700894910027124
Kelantan,2012,2276,27312,0.4111258620919209,4.5839780050061245
Kelantan,2014,2716,32592,0.34452226145847276,3.8413600660507874
Kelantan,2016,3079,36948,0.3039046645408289,3.3884813054218705
Kelantan,2019,3563,42756,0.26262207749683186,2.9281880267734883
Kelantan,2020,3010,36120,0.3108712498741568,3.4661574549481524
Kelantan,2022,3614,43368,0.2589160105482048,2.8868660595998725
Melaka,2012,3923,47076,0.23852216724986286,2.659478444913061
Melaka,2014,5029,60348,0.1860653136053315,2.0745941418560228
Melaka,2016,5588,67056,0.1674521227847552,1.8670604759115854
Melaka,2019,6054,72648,0.15456267957073208,1.7233455466458438
Melaka,2020,5447,65364,0.17178675640191152,1.9153908462261684
Melaka,2022,6210,74520,0.15067994559117745,1.6800537744595716
Negeri Sembilan,2012,3575,42900,0.2617405488450943,2.9183591438864167
Negeri Sembilan,2014,4128,49536,0.22667695303323934,2.527406477566361
Negeri Sembilan,2016,4579,54948,0.2043508325226495,2.2784743261397553
Negeri Sembilan,2019,5005,60060,0.18695753488935304,2.0845422456331546
Negeri Sembilan,2020,4478,53736,0.20895990668182493,2.3298646581942695
Negeri Sembilan,2022,5226,62712,0.17905137047860928,1.996389961613842
Pahang,2012,3067,36804,0.3050937274604539,3.4017391390263905
Pahang,2014,3389,40668,0.27610577223995636,3.07852875166537
Pahang,2016,3979,47748,0.23516523300357176,2.62204924337621
Pahang,2019,4440,53280,0.21074830227955227,2.3498049413049413
Pahang,2020,4033,48396,0.232016479573819,2.5869412197852566
Pahang,2022,4753,57036,0.19686986369055587,2.1950628948861644
Perak,2012,2665,31980,0.35111537040195573,3.9148720222866564
Perak,2014,3451,41412,0.271145309220867,3.02322049823064
Perak,2016,4006,48072,0.23358024516255918,2.604376919469281
Perak,2019,4273,51276,0.2189848963541334,2.4416414555099317
Perak,2020,3759,45108,0.24892856135174568,2.775507831708949
Perak,2022,4494,53928,0.20821594617739475,2.321569634934121
Perlis,2012,2387,28644,0.3920077344454177,4.3708143860050015
Perlis,2014,3500,42000,0.26734927489177485,2.9808954112554114
Perlis,2016,4204,50448,0.22257908233140153,2.481715970360119
Perlis,2019,4594,55128,0.20368360081001569,2.2710348148441315
Perlis,2020,4043,48516,0.23144260749968143,2.58054265134651
Perlis,2022,4713,56556,0.19854073034610906,2.213692751834063
Pulau Pinang,2012,4039,48468,0.23167181533082745,2.5830982766511363
Pulau Pinang,2014,4702,56424,0.19900520249281412,2.218871531134398
Pulau Pinang,2016,5409,64908,0.17299361473862304,1.9288470954693915
Pulau Pinang,2019,6169,74028,0.15168138468491035,1.6912196367959051
Pulau Pinang,2020,5474,65688,0.17093943407402484,1.905943357580186
Pulau Pinang,2022,6502,78024,0.1439130209352833,1.6046038048898708
Sabah,2012,2860,34320,0.3271756860563678,3.6479489298580208
Sabah,2014,3745,44940,0.24985913541287372,2.785883561920945
Sabah,2016,4110,49320,0.22766969881294696,2.538475411044754
Sabah,2019,4235,50820,0.22094981396014451,2.4635499266573646
Sabah,2020,3773,45276,0.24800489322057037,2.765209101350103
Sabah,2022,4577,54924,0.2044401271840096,2.279469945246655
Sarawak,2012,3047,36564,0.30709631182186153,3.424067587592366
Sarawak,2014,3778,45336,0.2476766707573351,2.7615494810465693
Sarawak,2016,4163,49956,0.22477118955590009,2.5061575641109632
Sarawak,2019,4544,54528,0.20592483761470334,2.2960241944088775
Sarawak,2020,3831,45972,0.24425018588389769,2.7233448027653195
Sarawak,2022,4978,59736,0.1879715673204524,2.095848521372828
Selangor,2012,5353,64236,0.17480337420534506,1.9490255818034634
Selangor,2014,6214,74568,0.15058295174142453,1.678972310813315
Selangor,2016,7225,86700,0.12951175946314353,1.4440323791548704
Selangor,2019,8210,98520,0.1139735033034363,1.270783671058945
Selangor,2020,7300,87600,0.1281811591946866,1.4291964300539644
Selangor,2022,9983,119796,0.09373158991497667,1.0450900470193267
Terengganu,2012,3034,36408,0.30841214967739355,3.4387389384950358
Terengganu,2014,3777,45324,0.24774224572973577,2.7622806299692715
Terengganu,2016,4694,56328,0.19934436772927397,2.22265316135363
Terengganu,2019,5545,66540,0.16875066945378034,1.8815390332540918
Terengganu,2020,4790,57480,0.19534915701904218,2.1781072942367303
Terengganu,2022,5878,70536,0.1591906196191242,1.7749462299071008
W.P. Kuala Lumpur,2012,5847,70164,0.16003462666687396,1.784356753787231
W.P. Kuala Lumpur,2014,7620,91440,0.12279822337548714,1.3691776823351627
W.P. Kuala Lumpur,2016,9073,108876,0.10313264213834586,1.1499100561439368
W.P. Kuala Lumpur,2019,10549,126588,0.08870248005699233,0.9890163939135406
W.P. Kuala Lumpur,2020,9093,109116,0.10290580249875861,1.1473808357411128
W.P. Kuala Lumpur,2022,10234,122808,0.09143272055122259,1.0194580749847508
W.P. Labuan,2012,5063,60756,0.18481581317819712,2.0606624411206673
W.P. Labuan,2014,5684,68208,0.16462393774124068,1.835526731068603
W.P. Labuan,2016,5928,71136,0.15784791871140555,1.7599753608964135
W.P. Labuan,2019,6726,80712,0.13912019954225574,1.551164724857856
W.P. Labuan,2020,6126,73512,0.15274607608899968,1.70309075079888
W.P. Labuan,2022,6904,82848,0.13553338095614312,1.511172355068647
W.P. Putrajaya,2012,6486,77832,0.14426803301282948,1.6085621244825685
W.P. Putrajaya,2014,7512,90144,0.12456369304062993,1.3888623454997258
W.P. Putrajaya,2016,8275,99300,0.11307824315664193,1.260801684518905
W.P. Putrajaya,2019,9983,119796,0.09373158991497667,1.0450900470193267
W.P. Putrajaya,2020,9743,116916,0.09604048672084697,1.0708338231955188
W.P. Putrajaya,2022,10056,120672,0.09305115971770207,1.0375033750391744
