state,aff_2022,conv_year
Kelantan,2.8868660595998725,2041
Kedah,2.3700894910027124,2039
Perak,2.321569634934121,2039
Sabah,2.279469945246655,2044
Perlis,2.213692751834063,2033
Pahang,2.1950628948861644,2041
Sarawak,2.095848521372828,2043
Negeri Sembilan,1.996389961613842,2047
Terengganu,1.7749462299071008,2033
Melaka,1.6800537744595716,2042
Pulau Pinang,1.6046038048898708,2039
Johor,1.5166643319369006,2035
W.P. Labuan,1.511172355068647,2052
Selangor,1.0450900470193267,2035
W.P. Putrajaya,1.0375033750391744,2037
