state,aff_2022,gap,conv_year
Kelantan,0.2589160105482048,0.1674832899969822,2035
Kedah,0.21256757431195183,0.12113485376072924,2032
Perak,0.20821594617739475,0.11678322562617216,2032
Sabah,0.2044401271840096,0.11300740663278702,2035
Perlis,0.19854073034610906,0.10710800979488647,2028
Pahang,0.19686986369055587,0.10543714313933328,2033
Sarawak,0.1879715673204524,0.0965388467692298,2034
Negeri Sembilan,0.17905137047860928,0.08761864992738669,2035
Terengganu,0.1591906196191242,0.06775789906790161,2027
Melaka,0.15067994559117745,0.05924722503995486,2030
Pulau Pinang,0.1439130209352833,0.05248030038406071,2029
Johor,0.1360259430325937,0.0445932224813711,2026
W.P. Labuan,0.13553338095614312,0.04410066040492053,2032
Selangor,0.09373158991497667,0.0022988693637540775,2023
W.P. Putrajaya,0.09305115971770207,0.0016184391664794823,2022
