country_code,country,year,unemployment_advanced_edu_pct,gdp_per_capita_usd,education_expenditure_pct_gdp,labour_force_participation_rate,tertiary_gross_enrolment_ratio
BRN,Brunei,2010,,34937.5555357155,1.84384000301361,66.558,15.3331563578444
BRN,Brunei,2011,,46382.8274255349,3.32213997840881,66.505,17.4270912772504
BRN,Brunei,2012,,46968.5971164922,2.88964009284973,66.382,22.0733483384086
BRN,Brunei,2013,,44003.0644273461,,66.184,23.4649239797279
BRN,Brunei,2014,4.543,41026.5084247957,3.35321998596191,65.946,30.0799102783203
BRN,Brunei,2015,,30625.1287744656,,65.682,28.6641292572021
BRN,Brunei,2016,,26663.2972950602,4.42539978027344,65.421,28.6644096374512
BRN,Brunei,2017,7.478,28024.3824580252,,65.191,31.2433910195239
BRN,Brunei,2018,8.756,30988.1190267227,,66.433,27.9285989469629
BRN,Brunei,2019,5.892,30426.5730656528,,64.793,27.7715019255456
BRN,Brunei,2020,6.508,26834.3592233943,,63.954,29.1961193084717
BRN,Brunei,2021,3.918,31006.9636289785,,63.895,27.4258937503291
BRN,Brunei,2022,6.631,36632.9280952155,,64.083,31.1925368707703
BRN,Brunei,2023,6.138,32890.5491812019,,64.733,36.4182725443167
IDN,Indonesia,2010,9.878,3065.68348377765,2.81227993965149,66.583,23.4159086398462
IDN,Indonesia,2011,8.304,3579.46442466152,3.18944001197815,66.913,25.027444191823
IDN,Indonesia,2012,5.529,3632.27254030331,3.40748000144958,67.416,29.0425391195214
IDN,Indonesia,2013,5.209,3566.60284506078,3.35904002189636,66.757,29.894529174265
IDN,Indonesia,2014,4.956,3441.06808464008,3.28800988197327,66.624,29.9904910473273
IDN,Indonesia,2015,5.444,3288.22269725538,3.58360004425049,66.578,32.4590200433758
IDN,Indonesia,2016,4.947,3521.46943457574,1.21023452496964,66.314,34.8307173410877
IDN,Indonesia,2017,4.209,3798.88326174526,1.05324382490056,66.694,35.967012362631
IDN,Indonesia,2018,5.31,3860.95353090726,0.994436460846179,67.652,36.1494878042588
IDN,Indonesia,2019,4.377,4106.94856160358,0.964399077622927,68.238,37.3230862728703
IDN,Indonesia,2020,4.597,3853.70288774146,1.01593221347809,67.401,38.1650601406923
IDN,Indonesia,2021,4.43,4287.17313995098,1.03221750658374,65.868,40.6293239880732
IDN,Indonesia,2022,4.097,4730.83484836107,0.863943349575907,67.018,42.3260385456152
IDN,Indonesia,2023,3.571,4876.30774512252,1.27517088245674,67.899,44.8813034886441
KHM,Cambodia,2010,,952.274616324008,1.24872994422913,84.751,12.1998596191406
KHM,Cambodia,2011,,1088.98152823081,1.20887994766235,85.439,11.4902860215331
KHM,Cambodia,2012,2.144,1192.80263041673,1.23062002658844,82.987,
KHM,Cambodia,2013,,1305.6600972686,1.57648003101349,80.219,
KHM,Cambodia,2014,1.038,1431.56396469993,1.44690001010895,80.293,
KHM,Cambodia,2015,,1547.32010444393,,79.603,13.615484963166
KHM,Cambodia,2016,0.914,1675.19555711109,,81.735,
KHM,Cambodia,2017,,1826.35391688754,,81.409,12.5181529981862
KHM,Cambodia,2018,,2036.67377566578,1.60336995124817,81.911,13.2671737077763
KHM,Cambodia,2019,0.982,2225.87705485686,2.13345387893978,82.422,12.9409846754696
KHM,Cambodia,2020,,2081.73914242939,2.2476462495972,82.238,13.8767573747135
KHM,Cambodia,2021,,2167.40324198499,1.96232691812756,79.51,13.5005634857238
KHM,Cambodia,2022,,2325.03050040841,1.95793279576416,82.338,14.6069513022825
KHM,Cambodia,2023,,2429.74853452838,2.1809128340295,82.348,17.4362364390629
LAO,Laos,2010,2.12,1125.91610151261,1.70978999137878,60.682,16.6638298034668
LAO,Laos,2011,,1361.54704394913,1.70801997184753,60.547,17.4954696423161
LAO,Laos,2012,,1563.5650771337,1.82147002220154,60.411,17.330766926856
LAO,Laos,2013,,1812.51774424651,3.23380994796753,60.272,18.9224448772621
LAO,Laos,2014,,1981.03910900473,2.93780994415283,60.14,18.4954952643985
LAO,Laos,2015,5.067,2121.01339097363,2.73689787884215,60.016,18.1574846273063
LAO,Laos,2016,,2303.22156035363,2.77442976110388,59.898,17.0880719461771
LAO,Laos,2017,5.18,2432.43059478511,2.49797261414021,59.782,15.4112577339384
LAO,Laos,2018,,2545.1075420815,2.33501229018316,60.989,14.4969749098337
LAO,Laos,2019,,2589.32081035237,2.12201393748998,62.207,13.7404020217342
LAO,Laos,2020,,2583.77730696131,1.91597273223857,62.912,12.561911777868
LAO,Laos,2021,,2526.05105018529,1.85949176876536,64.618,12.4396649191011
LAO,Laos,2022,2.796,2046.40440255621,1.46083440434069,66.001,13.677811550152
LAO,Laos,2023,,2066.94979776957,1.23375160355741,65.99,14.8841695785522
MMR,Myanmar,2010,,1010.53417343401,,65.37,
MMR,Myanmar,2011,,1213.62898703376,0.787440001964569,65.274,14.3246002197266
MMR,Myanmar,2012,,1202.6658960055,,65.144,13.7377004623413
MMR,Myanmar,2013,,1199.09561597055,,64.991,
MMR,Myanmar,2014,8.962,1293.00042319714,,64.84,
MMR,Myanmar,2015,,1166.73305547935,,64.711,
MMR,Myanmar,2016,,1229.19713491328,,63.378,
MMR,Myanmar,2017,2.621,1272.82241815234,2.16652989387512,62.023,
MMR,Myanmar,2018,2.132,1298.21310327675,1.99249005317688,62.361,20.3723297119141
MMR,Myanmar,2019,0.754,1425.98954241668,1.99976003170013,60.502,
MMR,Myanmar,2020,0.78,1490.21683599469,,60.151,
MMR,Myanmar,2021,,1242.7213439951,,55.191,
MMR,Myanmar,2022,,1158.05005055976,,55.218,
MMR,Myanmar,2023,,1233.19666209269,,55.192,
MYS,Malaysia,2010,3.23,8899.34505544675,4.96645021438599,61.602,36.6774305573553
MYS,Malaysia,2011,,10217.1068585031,5.76293992996216,61.937,35.5661790570975
MYS,Malaysia,2012,,10600.5744240026,5.73902988433838,62.952,36.825516807355
MYS,Malaysia,2013,,10713.6407638899,5.48120021820068,63.964,38.0700970900265
MYS,Malaysia,2014,,11013.3107334403,5.21263980865479,64.962,38.3919142029325
MYS,Malaysia,2015,3.58,9648.6797937523,4.89486980438232,65.185,44.289909239243
MYS,Malaysia,2016,4.05,9476.53409809923,4.75192022323608,65.09,45.4034659569972
MYS,Malaysia,2017,,9862.54806612235,4.6753101348877,65.202,42.293211695146
MYS,Malaysia,2018,4.04,10901.8019954421,4.47865009307861,65.574,43.3100279300797
MYS,Malaysia,2019,,10920.191763972,4.15776014328003,65.871,40.8082966813944
MYS,Malaysia,2020,4.62,9957.52626697613,3.91176009178162,65.473,39.7445667367633
MYS,Malaysia,2021,4.58,10903.1037480772,4.26109393398867,65.619,38.1899993008367
MYS,Malaysia,2022,3.47,11754.5678336248,3.49933781956284,66.223,36.9853099297291
MYS,Malaysia,2023,,11386.0395636528,3.51480007171631,66.178,37.2745812491757
PHL,Philippines,2010,10.33,2162.91375885614,,61.434,27.7549235195177
PHL,Philippines,2011,10.04,2383.91892522087,,62.23,29.0709151463153
PHL,Philippines,2012,9.2,2614.61644401308,,61.733,29.6298942276846
PHL,Philippines,2013,,2781.27957677397,,61.446,31.8704183328366
PHL,Philippines,2014,9.3,2866.83803761407,2.66454238129968,62.171,33.8741923214799
PHL,Philippines,2015,8.46,2909.85818010301,2.83052303785203,61.405,35.8745887819664
PHL,Philippines,2016,7.51,2985.19564024046,3.30128109042443,61.59,38.3447414525513
PHL,Philippines,2017,3.68,3038.12124959289,3.96384087403915,59.141,33.6841018682349
PHL,Philippines,2018,,3168.51036609727,3.85502760745456,58.981,28.1166228592308
PHL,Philippines,2019,,3400.78949767074,3.40748649142134,59.444,30.0548680110365
PHL,Philippines,2020,,3227.57910235199,3.85829051308063,54.746,31.6317598507085
PHL,Philippines,2021,4.578,3484.38593882819,3.87249754784633,56.471,33.6166173848126
PHL,Philippines,2022,3.696,3548.06930572116,3.57960089528426,61.439,38.4011392706768
PHL,Philippines,2023,3.352,3804.08274131097,3.6236863467978,61.42,44.2394203278519
SGP,Singapore,2010,2.83,47236.683084953,3.08044004440308,67.37,93.2696812803906
SGP,Singapore,2011,2.63,53891.4570264372,3.03077006340027,67.376,95.9817452372883
SGP,Singapore,2012,2.76,55547.5553077786,3.07085990905762,67.943,101.99681244982
SGP,Singapore,2013,2.74,56967.4257940383,2.85435009002686,67.768,
SGP,Singapore,2014,,57564.8023114977,3.01358665503678,68.556,
SGP,Singapore,2015,3.72,55645.6068614606,2.99161870509909,69.53,
SGP,Singapore,2016,,57005.5887176547,2.94466258946576,69.244,83.9409778236648
SGP,Singapore,2017,4.12,61236.251270627,2.87916382421742,68.943,84.7929138455372
SGP,Singapore,2018,,66881.6067035265,2.85660004615784,68.581,88.8864453410769
SGP,Singapore,2019,,65952.0378959293,2.72951006889343,68.986,91.0889904414776
SGP,Singapore,2020,4.85,61410.0792630788,2.6869900226593,68.712,93.134767179468
SGP,Singapore,2021,4.527,80056.1288247844,2.82470989227295,70.686,97.0989103061521
SGP,Singapore,2022,3.384,90299.0694637269,2.48891997337341,69.734,98.02222650098
SGP,Singapore,2023,3.446,85412.230345235,2.14826011657715,69.394,97.2886546863037
THA,Thailand,2010,1.787,4973.86288823778,3.50844001770019,71.657,46.3783774485726
THA,Thailand,2011,1.84,5373.6232832898,4.80555009841919,73.226,52.7332765596589
THA,Thailand,2012,1.25,5725.52802835463,4.53670978546143,72.825,50.7403100613359
THA,Thailand,2013,0.661,6018.08244729255,4.12402009963989,69.97,49.6879408184566
THA,Thailand,2014,1.335,5801.1978916205,3.91917751852112,69.794,49.9091820021394
THA,Thailand,2015,1.357,5688.85335397884,3.86397622727286,69.269,45.713134717198
THA,Thailand,2016,1.544,5833.57715617098,3.76761756770937,68.315,49.3227291503798
THA,Thailand,2017,1.746,6413.09182530343,3.46532147640365,67.525,47.427491541895
THA,Thailand,2018,1.579,7099.77650081458,3.19769395901619,67.798,46.1667791174286
THA,Thailand,2019,1.488,7605.69657797759,3.02221411183282,66.94,44.9880040072053
THA,Thailand,2020,2.181,6985.64393892574,3.15314171737183,67.021,42.5900878816865
THA,Thailand,2021,2.527,7057.20754802279,2.98212428478268,66.952,43.4690405127808
THA,Thailand,2022,2.116,6909.35281815827,2.61187022798634,67.18,43.29484965617
THA,Thailand,2023,1.712,7195.10130919449,2.52122219628772,67.814,45.4407811172674
VNM,Vietnam,2010,2.237,1683.16182443979,4.04593992233276,76.268,23.9250975429329
VNM,Vietnam,2011,2.509,1950.92504174913,3.7802300453186,76.372,25.8674734818525
VNM,Vietnam,2012,2.817,2185.11767654291,4.40817022323608,76.323,25.7487091222031
VNM,Vietnam,2013,3.892,2359.51736472828,4.52833986282349,77.234,25.6249412769592
VNM,Vietnam,2014,3.966,2546.38464459903,3.54012312110584,77.306,31.3306389293887
VNM,Vietnam,2015,4.588,2577.56885340113,3.41660449674943,77.43,29.7250797402999
VNM,Vietnam,2016,4.626,2735.0604380416,3.46906995773315,76.965,29.0811980839409
VNM,Vietnam,2017,4.001,2956.10992127753,3.41865686539527,77.2,25.9526307046456
VNM,Vietnam,2018,2.075,3222.31003125366,3.29537010192871,77.482,
VNM,Vietnam,2019,2.53,3440.90025375434,3.08499832693462,76.615,30.2241191864014
VNM,Vietnam,2020,4.483,3534.03953482647,3.21652900152514,74.367,
VNM,Vietnam,2021,3.406,3704.1935590038,2.94517488804327,73.738,41.9554971195048
VNM,Vietnam,2022,3.014,4147.69777213621,2.88738689372749,74.484,44.7536854027422
VNM,Vietnam,2023,2.688,4323.35031982451,,73.545,32.8415128147815
