university,type,field_category,programme,total_fee
UTM,Public,Architecture & Built Environment,Architecture(6 Semesters),8610.0
UTM,Public,Accounting & Finance,Accounting (7 Semesters),8795.0
UTM,Public,Computer Science & IT,Computer / IT,10760.0
UTM,Public,Education,Education,10760.0
UTM,Public,Engineering,Engineering,11200.0
UTM,Public,Business,"HRD, Business & Management",9880.0
UTM,Public,Social Sciences,Social Sciences,9880.0
UTM,Public,Science,Sciences,10760.0
UTM,Public,Architecture & Built Environment,Built Environment & Surveying,11080.0
UTM,Public,Computer Science & IT,Bachelor of Computer Science (Data Engineering) with Honours,13120.0
UTM,Public,Computer Science & IT,Bachelor of Artificial Intelligence with Honours (6 Semester),9540.0
UTM,Public,Business,Bachelor of Management with Honours,7710.0
UTM,Public,Engineering,Bachelor of Electronic Systems Engineering,40000.0
UTM,Public,Engineering,Bachelor of Mechanical Precision Engineering,40000.0
UTM,Public,Engineering,Bachelor of Chemical Process Engineering,40000.0
UM,Public,Arts & Humanities,BACHELOR OF MALAY STUDIES,8500.0
UM,Public,Arts & Humanities,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,8500.0
UM,Public,Arts & Humanities,BACHELOR OF MALAY LINGUISTICS,8500.0
UM,Public,Arts & Humanities,BACHELOR OF MALAY LITERATURE,8500.0
UM,Public,Arts & Humanities,BACHELOR OF ARABIC LANGUAGE AND LINGUISTICS,8500.0
UM,Public,Arts & Humanities,BACHELOR OF JAPANESE LANGUAGES AND LINGUISTICS,8400.0
UM,Public,Arts & Humanities,BACHELOR OF CHINESE LANGUAGE AND LINGUISTICS,8400.0
UM,Public,Arts & Humanities,BACHELOR OF TAMIL LANGUAGE AND LINGUISTICS,8400.0
UM,Public,Arts & Humanities,BACHELOR OF ENGLISH LANGUAGE AND LINGUISTICS,8500.0
UM,Public,Arts & Humanities,BACHELOR OF FRENCH LANGUAGE AND LINGUISTICS,8400.0
UM,Public,Arts & Humanities,BACHELOR OF GERMAN LANGUAGE AND LINGUISTICS,8400.0
UM,Public,Arts & Humanities,BACHELOR OF SPANISH LANGUAGE AND LINGUISTICS,8400.0
UM,Public,Arts & Humanities,BACHELOR OF ITALIAN LANGUAGE AND LINGUISTICS,8400.0
UM,Public,Law,FACULTY OF LAW BACHELOR OF LAWS,9400.0
UM,Public,Architecture & Built Environment,BACHELOR OF SCIENCE IN ARCHITECTURE,9700.0
UM,Public,Architecture & Built Environment,BACHELOR OF BUILDING SURVEYING,11700.0
UM,Public,Architecture & Built Environment,BACHELOR OF QUANTITY SURVEYING,10500.0
UM,Public,Architecture & Built Environment,BACHELOR OF REAL ESTATE,10400.0
UM,Public,Architecture & Built Environment,BACHELOR OF URBAN AND REGIONAL PLANNING,11700.0
UM,Public,Medicine & Health,FACULTY OF PHARMACY BACHELOR OF PHARMACY (HONS.),13300.0
UM,Public,Business,FACULTY OF SPORT AND EXERCISE BACHELOR OF SPORTS MANAGEMENT,9300.0
UM,Public,Science,SCIENCES BACHELOR OF EXERCISE SCIENCE,9400.0
UM,Public,Engineering,BACHELOR OF CIVIL ENGINEERING,9900.0
