date,sex,sru_persons,sru_rate
2017-01-01,female,615.9,32.0
2017-01-01,male,567.0,27.8
2017-01-01,overall,1182.9,29.9
2017-04-01,female,695.7,35.3
2017-04-01,male,584.9,28.4
2017-04-01,overall,1280.6,31.8
2017-07-01,female,687.7,33.6
2017-07-01,male,623.9,29.3
2017-07-01,overall,1311.6,31.4
2017-10-01,female,684.4,34.6
2017-10-01,male,648.4,30.9
2017-10-01,overall,1332.8,32.7
2018-01-01,female,677.7,34.6
2018-01-01,male,629.2,30.5
2018-01-01,overall,1306.9,32.5
2018-04-01,female,760.9,36.3
2018-04-01,male,647.2,30.2
2018-04-01,overall,1408.1,33.2
2018-07-01,female,742.2,35.0
2018-07-01,male,704.1,31.9
2018-07-01,overall,1446.3,33.4
2018-10-01,female,736.2,35.4
2018-10-01,male,667.8,30.3
2018-10-01,overall,1404.0,32.8
2019-01-01,female,787.6,35.7
2019-01-01,male,673.2,30.1
2019-01-01,overall,1460.8,32.9
2019-04-01,female,751.9,35.6
2019-04-01,male,665.3,30.2
2019-04-01,overall,1417.2,32.8
2019-07-01,female,855.2,38.5
2019-07-01,male,699.3,30.3
2019-07-01,overall,1554.5,34.3
2019-10-01,female,794.1,36.7
2019-10-01,male,746.8,33.0
2019-10-01,overall,1540.9,34.8
2020-01-01,female,822.2,37.4
2020-01-01,male,815.1,35.0
2020-01-01,overall,1637.3,36.2
2020-04-01,female,826.4,37.5
2020-04-01,male,847.7,35.5
2020-04-01,overall,1674.1,36.5
2020-07-01,female,896.9,40.0
2020-07-01,male,865.9,34.0
2020-07-01,overall,1762.7,36.8
2020-10-01,female,820.2,33.3
2020-10-01,male,1066.6,41.2
2020-10-01,overall,1886.8,37.4
2021-01-01,female,948.4,36.6
2021-01-01,male,951.5,39.3
2021-01-01,overall,1899.9,37.9
2021-04-01,female,903.5,36.4
2021-04-01,male,949.0,39.0
2021-04-01,overall,1852.5,37.7
2021-07-01,female,942.2,41.0
2021-07-01,male,931.7,34.8
2021-07-01,overall,1873.8,37.7
2021-10-01,female,961.2,39.4
2021-10-01,male,877.1,35.5
2021-10-01,overall,1838.3,37.5
2022-01-01,female,935.6,39.2
2022-01-01,male,874.4,34.7
2022-01-01,overall,1810.1,36.9
2022-04-01,female,907.3,39.4
2022-04-01,male,892.3,34.4
2022-04-01,overall,1799.6,36.7
2022-07-01,female,981.7,38.2
2022-07-01,male,857.9,35.4
2022-07-01,overall,1839.6,36.8
2022-10-01,female,869.5,35.3
2022-10-01,male,1022.0,39.3
2022-10-01,overall,1891.4,37.4
2023-01-01,female,963.3,40.6
2023-01-01,male,944.0,34.7
2023-01-01,overall,1907.2,37.4
2023-04-01,female,1041.5,42.5
2023-04-01,male,873.1,32.8
2023-04-01,overall,1914.6,37.4
2023-07-01,female,981.4,37.4
2023-07-01,male,941.3,37.2
2023-07-01,overall,1922.7,37.3
2023-10-01,female,940.9,36.4
2023-10-01,male,996.2,38.3
2023-10-01,overall,1937.1,37.4
2024-01-01,female,1056.1,42.0
2024-01-01,male,864.7,31.3
2024-01-01,overall,1920.8,36.4
2024-04-01,female,1054.5,40.8
2024-04-01,male,868.7,31.8
2024-04-01,overall,1923.1,36.2
2024-07-01,female,1063.0,41.7
2024-07-01,male,879.4,30.9
2024-07-01,overall,1942.4,36.0
2024-10-01,female,1065.5,42.0
2024-10-01,male,880.7,30.3
2024-10-01,overall,1946.3,35.8
2025-01-01,female,1068.1,40.4
2025-01-01,male,885.6,31.4
2025-01-01,overall,1953.7,35.7
2025-04-01,female,1072.7,40.7
2025-04-01,male,882.9,30.8
2025-04-01,overall,1955.6,35.6
2025-07-01,female,1077.2,40.1
2025-07-01,male,884.3,31.1
2025-07-01,overall,1961.5,35.5
