field_category,UTM,UM,APU,Taylor's,Overall_Mean_RM,Uni_Count
Accounting & Finance,8795.0,9433.33,98680.0,148025.83,66233.54,4
Architecture & Built Environment,9845.0,10800.0,103000.0,123345.0,61747.5,4
Arts & Humanities,,8808.7,102100.0,118371.33,76426.68,3
Business,8795.0,9225.0,100280.0,117782.86,59020.72,4
Computer Science & IT,11140.0,15350.0,103000.0,121730.0,62805.0,4
Education,10760.0,9033.33,,104885.0,41559.44,3
Engineering,32800.0,9800.0,119600.0,168665.0,82716.25,4
Law,,9400.0,,125835.0,67617.5,2
Medicine & Health,,13040.0,,206237.0,109638.5,2
Science,10760.0,9850.0,,123106.67,47905.56,3
Social Sciences,9880.0,8266.67,100600.0,109040.0,56946.67,4
