date,age,sru_persons,sru_rate
2017-01-01,15-24,280.8,63.3
2017-01-01,25-34,569.0,31.3
2017-01-01,35-44,209.3,20.8
2017-01-01,45+,123.8,17.9
2017-01-01,overall,1182.9,29.9
2017-04-01,15-24,317.9,65.3
2017-04-01,25-34,587.7,32.8
2017-04-01,35-44,226.9,22.0
2017-04-01,45+,148.1,20.6
2017-04-01,overall,1280.6,31.8
2017-07-01,15-24,306.1,62.9
2017-07-01,25-34,632.6,34.1
2017-07-01,35-44,227.4,21.7
2017-07-01,45+,145.5,18.4
2017-07-01,overall,1311.6,31.4
2017-10-01,15-24,303.2,63.4
2017-10-01,25-34,631.8,34.6
2017-10-01,35-44,254.8,24.8
2017-10-01,45+,142.9,19.2
2017-10-01,overall,1332.8,32.7
2018-01-01,15-24,279.2,63.7
2018-01-01,25-34,629.2,34.7
2018-01-01,35-44,259.0,24.2
2018-01-01,45+,139.5,19.9
2018-01-01,overall,1306.9,32.5
2018-04-01,15-24,314.5,66.0
2018-04-01,25-34,687.4,36.6
2018-04-01,35-44,257.7,23.2
2018-04-01,45+,148.4,19.2
2018-04-01,overall,1408.1,33.2
2018-07-01,15-24,351.3,65.1
2018-07-01,25-34,683.3,35.1
2018-07-01,35-44,266.9,24.0
2018-07-01,45+,144.8,19.7
2018-07-01,overall,1446.3,33.4
2018-10-01,15-24,337.2,66.0
2018-10-01,25-34,679.1,36.2
2018-10-01,35-44,245.4,21.0
2018-10-01,45+,142.3,19.6
2018-10-01,overall,1404.0,32.8
2019-01-01,15-24,329.5,64.2
2019-01-01,25-34,696.4,36.1
2019-01-01,35-44,263.0,21.6
2019-01-01,45+,172.0,22.0
2019-01-01,overall,1460.8,32.9
2019-04-01,15-24,338.6,67.1
2019-04-01,25-34,666.0,35.8
2019-04-01,35-44,259.7,22.6
2019-04-01,45+,152.8,19.0
2019-04-01,overall,1417.2,32.8
2019-07-01,15-24,393.5,66.6
2019-07-01,25-34,705.8,37.0
2019-07-01,35-44,279.1,22.9
2019-07-01,45+,176.0,21.7
2019-07-01,overall,1554.5,34.3
2019-10-01,15-24,348.4,63.6
2019-10-01,25-34,732.4,38.2
2019-10-01,35-44,287.4,24.6
2019-10-01,45+,172.7,21.7
2019-10-01,overall,1540.9,34.8
2020-01-01,15-24,338.3,68.9
2020-01-01,25-34,786.3,40.0
2020-01-01,35-44,310.8,25.4
2020-01-01,45+,201.8,23.9
2020-01-01,overall,1637.3,36.2
2020-04-01,15-24,393.7,69.2
2020-04-01,25-34,701.9,37.0
2020-04-01,35-44,331.6,27.2
2020-04-01,45+,246.9,27.3
2020-04-01,overall,1674.1,36.5
2020-07-01,15-24,405.1,72.2
2020-07-01,25-34,811.4,42.1
2020-07-01,35-44,355.3,26.2
2020-07-01,45+,190.9,20.2
