sex,date,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate,ep_ratio
both,2010-01-01,12303.9,11899.5,404.4,7023.0,63.7,3.3,61.5
both,2011-01-01,12740.7,12351.5,389.2,7023.3,64.5,3.1,62.4
both,2012-01-01,13221.7,12820.5,401.2,6927.4,65.6,3.0,63.6
both,2013-01-01,13980.5,13545.4,435.1,6781.2,67.3,3.1,65.2
both,2014-01-01,14263.6,13852.6,411.1,6821.0,67.6,2.9,65.3
both,2015-01-01,14518.0,14067.7,450.3,6869.9,67.9,3.1,65.2
both,2016-01-01,14667.8,14163.7,504.1,6987.6,67.7,3.4,64.5
both,2017-01-01,14980.1,14476.8,503.3,7065.0,68.0,3.4,64.9
both,2018-01-01,15280.3,14776.0,504.3,7094.4,68.3,3.3,65.4
both,2019-01-01,15581.6,15073.4,508.2,7103.5,68.7,3.3,66.5
both,2020-01-01,15406.0,14719.4,686.6,7105.2,68.4,4.5,65.5
both,2021-01-01,15532.8,14825.2,707.6,7102.3,68.6,4.6,65.6
both,2022-01-01,15769.7,15155.2,614.5,7000.7,69.3,3.9,66.6
both,2023-01-01,16366.8,15813.4,553.4,6997.8,70.0,3.4,67.7
female,2010-01-01,4348.4,4191.7,156.8,4951.2,46.8,3.6,45.0
female,2011-01-01,4568.3,4416.7,151.6,4943.6,48.0,3.3,46.4
female,2012-01-01,4802.6,4651.0,151.6,4890.7,49.5,3.2,47.9
female,2013-01-01,5241.1,5060.8,180.3,4724.9,52.6,3.4,50.7
female,2014-01-01,5440.4,5265.1,175.4,4694.9,53.7,3.2,51.8
female,2015-01-01,5565.1,5376.7,188.5,4721.2,54.1,3.4,51.9
female,2016-01-01,5655.7,5434.0,221.7,4757.9,54.3,3.9,51.6
female,2017-01-01,5766.5,5563.3,203.2,4770.5,54.7,3.5,52.0
female,2018-01-01,5950.1,5734.2,215.9,4823.2,55.2,3.6,52.9
female,2019-01-01,6078.1,5871.0,207.1,4850.1,55.6,3.4,53.8
female,2020-01-01,5839.762092491381,5568.187396805623,271.5746956857575,4762.910616576659,55.078207662647806,4.650441086203518,52.6
female,2021-01-01,5909.826151100079,5630.5705036985755,279.2556474015033,4775.484246608769,55.307950177725004,4.72527685690926,52.8
female,2022-01-01,5993.560753497061,5753.123885893213,240.43686760384819,4783.54524187769,55.61382393445271,4.01158639233882,53.4
female,2023-01-01,6178.316032531093,5963.820006077717,214.4960264533755,4809.503086288291,56.228774479452284,3.4717554965459114,54.3
male,2010-01-01,7955.5,7707.8,247.7,2071.7,79.3,3.1,76.8
male,2011-01-01,8172.4,7934.8,237.6,2079.7,79.7,2.9,77.3
male,2012-01-01,8419.0,8169.5,249.6,2036.7,80.5,3.0,78.1
male,2013-01-01,8739.4,8484.6,254.8,2056.3,81.0,2.9,78.5
male,2014-01-01,8823.2,8587.5,235.7,2126.2,80.6,2.7,77.9
male,2015-01-01,8952.8,8691.0,261.8,2148.7,80.6,2.9,77.4
male,2016-01-01,9012.1,8729.7,282.4,2229.7,80.2,3.1,76.4
male,2017-01-01,9213.5,8913.4,300.1,2294.6,80.1,3.3,76.9
male,2018-01-01,9330.2,9041.8,288.4,2271.3,80.4,3.1,77.0
male,2019-01-01,9503.5,9202.4,301.1,2253.5,80.8,3.2,78.3
male,2020-01-01,9566.208961840863,9151.193448567175,415.01551327368736,2342.3393452698597,80.33060550402081,4.338348816434638,76.9
male,2021-01-01,9622.99977571472,9194.605766475866,428.3940092388521,2326.8208486155686,80.52840354876898,4.451771996503392,77.1
male,2022-01-01,9776.180884743157,9402.124033907165,374.05685083599167,2217.178181598186,81.51328439902574,3.8262063196861464,78.4
male,2023-01-01,10188.497611864273,9849.548320219645,338.9492916446296,2188.3356257169753,82.31909904811295,3.3267838356258816,79.6
