state,aff_2022,conv_year
Kelantan,2.791276985280952,2057.0
Kedah,2.291611773013485,2051.0
Perak,2.244698492391046,2053.0
Sabah,2.20399279545671,2067.0
Perlis,2.140393597454988,2039.0
Pahang,2.122380606944111,2056.0
Sarawak,2.026451391081832,2063.0
Negeri Sembilan,1.9302860743982702,
Terengganu,1.7161747235123104,2038.0
Melaka,1.6244243196143897,2059.0
Pulau Pinang,1.5514726276230943,2052.0
Johor,1.4664449810736095,2043.0
W.P. Labuan,1.4611348529555852,
Selangor,1.0104853275373495,2043.0
W.P. Putrajaya,1.0031498632463565,2048.0
