state,aff_2022,gap,conv_year
Kelantan,0.250342858464356,0.16193763172112924,2045
Kedah,0.20552909824856488,0.11712387150533812,2039
Perak,0.20132155996666282,0.11291633322343606,2040
Sabah,0.1976707648001273,0.10926553805690054,2049
Perlis,0.1919667070846982,0.10356148034147145,2031
Pahang,0.19035116568276514,0.10194593893953838,2042
Sarawak,0.1817475071294059,0.09334228038617914,2045
Negeri Sembilan,0.17312267326639547,0.0847174465231687,2050
Terengganu,0.15391954584725803,0.06551431910403127,2029
Melaka,0.14569067479713085,0.05728544805390409,2037
Pulau Pinang,0.1391478145939992,0.05074258785077243,2034
Johor,0.13152189133452286,0.043116664591296094,2029
W.P. Labuan,0.13104563883113884,0.04264041208791208,2050
Selangor,0.090627976609254,0.002222749866027232,2025
W.P. Putrajaya,0.08997007661994656,0.001564849876719801,2022
